countrykey,africa,lat_abst,avexpr,logpgp95,other,asia,loghjypl,baseco,rich4,logem4,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,euro1900,democ1,cons1,indtime,democ00a,cons00a,marketref,dem,demcgv,dembmr,demreg,lp_bl,ls_bl,lh_bl,tropicar,distcr,distc,distr,ginv,polity,polity2,mortality,imputedmort,excolony,currentinst,malfal,uvdamage,suitavg,pdiv,pdiv_aa,pdivhmi,pdivhmi_aa,pd1,pd1000,pd1500,pd15001,pop1,pop1000,pop1500,legor_uk,legor_fr,temp,elevavg,elevstd,kgatr,precip,suitgini,area,abslat,cenlong,area_ar,rough,ln_yst,ln_yst_aa,europe,oceania,americas,pprotest,pcatholic,pmuslim,pother,population_initial,population_now,gdp_pc_initial,gdp_pc_now,capital_growth_pct_gdp_initial,capital_growth_pct_gdp_now,gdp_initial,gdp_now,investment_rate,gdp_growth,pop_growth,lgdp_initial,lpop_initial,airdist,brit,buddha,civ72,confuc,dens60,dens65c,dens65i,dpop6090,east,ecorg,engfrac,fertldc1,gde1,gdpch60l,geerec1,ggcfd3,govnom1,govsh61,gvr61,h60,herf00,hindu00,iprice1,laam,life060,lt100cr,malfal66,mining,newstate,oil,opendec1,orth00,othfrac,p60,pi6090,pop1560,pop60,pop6560,priexp70,prights,rerd,revcoup,scout,size60,socialist,spain,sqpi6090,tot1dec1,totind,troppop,wartime,wartorn,yrsopen,ztropics
CIV,1,.088888891,7,7.4442487,0,0,-2.3330443,1,0,6.5042882,18.5,24,52.799999,0,1,1,.85652989,26,31,36,15,20,93,96,71,82,0,0,0,0,0,0,0,0,0,0,0,0,7460,.94999999,1,46.720001,87.300003,26.0907,.171056,.088889003,0,0,1,35,0,1,33.661331,0,0,0,.032258064,5.8866692,2.8361387,1.0761001,1,272.16199,280.47,400.01199,22.495653,-9,-9,668,668,1,177,1,251.2374,.30000001,.73858219,.74001354,.72127211,.72408199,1.1814605,2.7567413,4.3320217,4.3320217,375704.44,876643.75,1377582.9,0,1,26.21883,.28667793,.1299153,1,114.9125,.32791999,318000,8,-5,31005,.051163331,8.1605186,8.1744213,0,0,0,4.6999998,18.5,24,52.799999,5102070,26378275,1940.4015,1714.5406,22.495653,,9900063744,45226626056.5907,16.643806,-.0024719331,.033403669,7.5706501,15.445157,5260,0,0,.16666667,0,83.7062,30.95911,10.78493,.03845283,0,5,0,2.0006688,.0099999998,7.0210838,.035399999,.029999999,.15000001,.12,.078600004,,.90310198,0,90.349998,0,39.5,.18000001,1,.029999999,2,0,.64099997,0,0,,6.6438379,.4084,3799,.023690401,.94,5.8299999,185,0,1,15.263577,0,0,44.140583,7.4505802e-09,.2137931,.64660001,0,0,0,.78289372
CMR,1,.06666667,6.4545455,7.5010819,0,0,-2.5770221,1,0,5.6347895,35,22,24.9,0,0,1,.85204548,25,31,36,14,17,97,98,62,75,0,0,0,0,0,0,0,0,0,0,0,0,31900,.94999999,1,54.73,74.400002,24.433331,.098240003,.066666998,0,0,3,35,0,1,0,0,0,0,.032258064,21.448267,3.2739508,.21813726,1,405.651,453.53101,729.26398,16.027657,-7,-7,280,280,1,161,1,264.02365,.23,.75121886,.75021547,.74432033,.74277151,.19119325,.76477301,1.529546,1.529546,88981.344,355925.38,711850.75,0,1,25.012573,.56137079,.29135349,.91284412,129.9425,.50696999,465400,6,12,59617.742,.11221094,8.0063677,8.0050669,0,0,0,18.1,35,22,24.9,6519754,26545864,930.99023,1490.8296,16.027657,23.800695,6069827584,39575360886.1747,21.082726,.0094612623,.028478727,6.8362489,15.690348,5470,0,0,.5,0,87.861099,19.58585,11.87936,.026343251,0,5,0,1.7404662,.024,6.4630294,.0221,.039999999,.16,.19,.14390001,0,.89931399,0,139.59,0,43.400002,.13,1,.090000004,2,0,.43450001,0,.0070000002,.64999998,6.8889008,.4052,5297,.0347366,.91500002,6.0599999,187,.079999998,1,15.037926,0,0,47.456951,.013976187,.32413793,.86409998,0,0,.16,.24094421
COG,1,.011111111,4.681818,7.420579,0,0,-2.1037343,1,0,5.480639,53.900002,.40000001,20.799999,0,1,1,.66927534,25,32,37,12,19,77,89,54,71,0,0,0,0,0,0,0,0,0,0,0,0,338000,.94999999,1,48.549999,89.5,24.751511,.047892999,.011111,0,5,4,35,0,1,,0,0,0,.032258064,15.508538,4.0712957,.65985215,1,507.80499,530.12201,612.16901,24.210518,-7,-7,240,240,1,181,1,243.52341,.07,.75174141,.75174141,.74440712,.74440712,.19119325,.76477301,1.529546,1.529546,65292.496,261169.98,522339.97,0,1,24.472746,.42508623,.1269713,1,136.22838,.58122998,341500,1,15,4883.4497,.058791962,8.0063677,8.0063677,0,0,0,24.9,53.900002,.40000001,20.799999,1326894,5518092,1799.0472,2049.418,24.210518,24.855225,2387144960,11308876317.4576,33.978302,.0026093703,.028913947,7.4950123,14.098351,6330,0,0,0,0,345.6478,12.39925,2.7932329,.02747309,0,1,0,1.7718968,.025,7.0237589,.031099999,.039999999,.18000001,.31999999,.2669,0,.95125002,0,143,0,47.299999,.050000001,1,.17,2,0,.88300002,0,0,.77999997,5.3445034,.4082,988,.034412999,.70999998,6.5599999,191,.36000001,1,13.919441,1,0,28.563715,.016126819,.11724138,.86199999,0,0,0,.027556401
COL,0,.044444446,7.318182,8.8098631,0,0,-1.3318062,1,0,4.2626801,96.599998,.2,2.3000016,0,0,1,.05579602,14,22,24,4,7,82,88,51,64,0,0,0,0,0,0,25,0,0,0,0,0,57,.14637001,1,70.43,30,22.5,.159722,.044443998,20,4,3,163,3,5,10.119047,1,1,1,.875,56.823887,12.395759,1.9423836,1,200.267,422.64899,329.26599,20.336226,7,7,71,71,1,45,.26169479,253.3493,.33000001,.60769397,.68542349,.60234755,.67332625,.28882256,.57764512,.96274191,.96274191,320448.63,640897.25,1068162.1,0,1,24.957228,.4754667,.7383939,.83117592,215.84845,.54295999,1109500,4,-72,30067.451,.23183145,8.1315308,8.5166502,0,0,1,.89999998,96.599998,.2,2.3,21480064,50882884,2879.2512,7228.4365,20.232285,18.833796,61846499328,367803698280.801,20.042959,.018580357,.017397633,7.9652858,16.882635,4030,0,0,.83333331,0,65.167198,30.34203,15.43562,.02443978,0,3,0,1.6851017,.017000001,7.4289274,.023,.050000001,.1,.1,.059999999,.02,.67720598,0,61.330002,1,53.200001,.28,.26418,.059999999,0,0,.27250001,0,.98000002,.76999998,16.967094,.46329999,15939,.032185201,.91900003,2.1099999,81,0,0,17.105452,0,1,287.88232,.002061933,.34482759,.75330001,.31999999,1,.090000004,.56681317
CRI,0,.11111111,7.0454545,8.7948246,0,0,-1.3586792,1,0,4.3579903,90.5,0,3.6999998,0,0,1,.053214286,21,29,33,9,14,80,92,55,78,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,76.029999,12.1,25.1,1,.111111,20,0,3,157,10,7,53.0578,1,1,1,.875,68.699997,7.5999999,3.0999999,1,35.730202,35.4753,1025.33,20.53644,10,10,,78.099998,1,110,0,248.29321,.64999998,.61581188,.69448811,.62002093,.68410635,.58738303,1.1747661,1.5663548,1.5663548,29991.777,59983.555,79978.07,0,1,24.907343,.39548084,.5169971,1,241.71835,.17624,51060,10,-84,2251.7458,.37204513,7.8240461,8.6015511,0,0,1,5.8000002,90.5,0,3.7,1847394,5094114,3732.0632,9619.7158,20.53644,15.219325,6894590976,49003930087.0206,21.253969,.019117514,.020493358,8.2247162,14.429287,3575,0,0,1,0,41.310699,29.024679,0,.030175461,0,3,.02,1.6231436,.011,7.6477861,.035,.029999999,.14,.2,.155,.050000001,.97035199,0,82.730003,1,61.900002,1,.00088000001,.039999999,0,0,.63800001,0,.89099997,.95999998,11.816386,.47400001,1236,.032362498,.80299997,1,91,0,0,14.767422,0,1,139.627,-.027087498,.32413793,.000099999997,0,0,.41999999,.2598258
DOM,0,.21111111,6.181818,8.3640423,0,0,-1.5798792,1,0,4.8675346,96.599998,0,2.0000014,0,1,1,.010830564,26,33,37,15,20,88,92,58,66,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,70.610001,33.599998,25.6,1,.21111099,25,1,3,151,1,3,13.155673,0,1,1,.071428575,45.899998,12.1,1.9,1,29.725,30.183901,1013.64,19.139626,-3,-3,130,130,1,116,0,251.88348,.92000002,.61540747,.73029333,,,.44332135,.88664275,1.329964,1.329964,21447.887,42895.777,64343.66,0,1,24.553793,.31058496,.59385413,1,125.97045,.033319999,48380,19,-70.666664,10958.069,.31631872,7.3132205,8.5335646,0,0,1,1.4,96.599998,0,2,4499722,10847904,1699.0308,7389.6904,19.143454,25.381662,7645166080,80162653484.64011,21.560818,.029837022,.017754903,7.4378133,15.319526,2420,0,0,.83333331,0,14.9737,78.668869,0,.026828609,0,3,0,1.8143361,.039000001,7.0859013,.0187,.050000001,.17,.18000001,.1203,.0099999998,.95688802,0,90.57,1,52.200001,1,.93800002,.02,0,0,.43099999,0,.87,.98000002,11.294231,.4682,3231,.0303312,.80400002,2.1700001,129,.36000001,0,15.166449,0,0,127.55966,.065232515,.17931035,0,.039999999,1,0,0
DZA,1,.31111112,6.5,8.3893595,0,0,-1.1147417,1,0,4.3592696,.5,99.099998,.40000153,0,1,1,.29372403,21,24,42,0,1,67,75,57,66,0,1,0,0,0,0,0,0,0,0,0,0,339000,0,0,68.889999,43.799999,19.299999,.047185998,.311111,13,0,2,33,0,1,0,0,0,0,0,13,2.2,.30000001,.16665584,765.92999,765.875,1353.35,36.649071,-9,-9,,78.199997,1,152,0,209.10266,.039999999,.73800051,.73800051,.73379397,.73379397,.83972222,.83972222,.62979168,.62979168,2000000,2000000,1500000,0,1,22.768929,.56261605,.32688481,0,8.6701946,.86241001,2381740,28,3,76692.031,.084361471,8.2940493,8.2940493,0,0,0,0,.5,99.099998,.40000001,14464992,43851043,2708.4641,4362.7397,36.649071,44.829311,39177912320,191310679011.5789,35.401039,.0095799668,.022429178,7.9041371,16.487242,1675,0,0,.16666667,0,220.53149,74.740028,1.552617,.028417081,0,0,0,2.0031004,.029999999,7.4518223,.0297,.23,.15000001,.17,.1073,0,.76424801,0,97.959999,0,47.299999,.050000001,.090000004,.2,2,1,.46950001,0,.83600003,.46000001,6.4510531,.4373,10800,.0385185,.93300003,5.8299999,190,.12,1,16.739124,1,0,41.616085,.10014485,.3586207,.12864999,0,1,0,0
ECU,0,.022222223,6.5454545,8.4701014,0,0,-1.4396951,1,0,4.2626801,96.400002,0,1.6999985,0,0,1,.32535714,15,26,30,0,4,80,94,40,60,0,0,1,0,0,0,30.000002,0,0,0,0,0,141,.11894999,0,69.519997,45.599998,19.1,.368411,.022221999,30.000002,1,3,165,1,3,33.928574,0,0,0,.071428575,53.762379,9.4810944,2.2228687,1,185.354,188.69,623.703,15.531661,0,0,71,71,1,139,.19597401,273.24512,.51999998,.60609674,.65408444,.59835434,.64285749,.72243893,1.4448779,2.1673169,2.1673169,200000,400000,600000,0,1,22.407665,.74211675,1.0381629,.51255172,155.37218,.34266999,276840,2,-77.5,16167.456,.35542932,8.2940493,8.502429,0,0,1,1.9,96.400002,0,1.7,6069375,17643060,2487.7336,4628.3169,19.559916,23.117458,15098988544,81657668887.567,23.39517,.012493826,.021571102,7.8191276,15.618766,4580,0,0,.66666669,0,62.7328,30.306219,11.7418,.029480901,0,3,0,1.8481398,.021,7.2868762,.0155,.079999998,.11,.17,.13250001,.029999999,.78425801,0,26.540001,1,53.400002,.38,.21349999,.1,0,0,.40149999,0,.71399999,.82999998,15.709707,.44819999,4413,.0401088,.98299998,3.72,113,.56,1,15.679187,0,1,246.79491,.030228086,.3862069,.46939999,0,0,.83999997,.38907331
EGY,1,.30000001,6.7727275,7.9515595,0,0,-1.6766466,1,0,4.2165623,.2,81.800003,17.799997,1,0,1,.023061818,24,31,47,1,17,50,70,18,41,0,1,0,0,0,0,0,0,0,0,0,0,111000,0,0,66.269997,50.5,22.6,.239163,.30000001,0,0,1,184,7,7,11.904762,0,0,0,0,4.0548263,4.4393835,2.6947265,.19827393,224.202,331.36401,297.883,13.94847,-7,-7,67.800003,67.800003,1,109,0,223.94995,.00416,.75570923,.7563203,.76004946,.76076943,4.0182834,5.0228539,4.0182834,4.0182834,4000000.3,5000000,4000000.3,0,1,22.031137,.27134579,.215203,0,2.910641,.37523001,995450,27,30,27972.145,.090162531,8.8818359,8.8648882,0,0,0,.2,.2,81.800003,17.799999,34513851,102334403,730.42303,3058.3108,14.602074,13.821306,25209710592,312970401488.285,20.253242,.029053949,.021975689,6.5936236,17.356871,3250,1,0,.16666667,0,38.401699,64.096619,21.52594,.023792241,0,1,0,1.8023697,.061999999,6.6957989,.045000002,.0099999998,.20999999,.28,.177,.050000001,.67591,0,287.26999,0,46.400002,.38999999,.028000001,.029999999,1,0,.35800001,.066,.97000003,.66000003,9.2147703,.42429999,25922,.0328293,.72899997,5.1100001,168,.16,1,16.858646,0,0,84.911995,.010265417,.40689656,.124875,.079999998,1,0,0
ETH,1,.088888891,5.7272725,6.1092477,0,0,,1,0,3.2580965,.69999999,31.4,64.099998,0,0,1,.67708248,17,27,34,0,7,56,86,33,73,0,0,0,0,0,0,0,0,0,0,0,0,0,.551,1,43.32,116,,.021018,.088889003,0,0,1,49,5,7,17.132717,0,0,0,.032258064,,,,1,492.78,492.89301,1911.5699,,-9,-9,26,26,1,127,.58062732,298.47333,.41999999,.77430111,.77430111,.78256762,.78256762,.45413262,.90826523,1.8165305,1.8165305,454132.63,908265.25,1816530.5,0,1,23.64513,1.1027966,.63615692,.21464109,63.285618,.48963001,1000000,8,38,100000,.24749132,8.2940493,8.2940493,0,0,0,3.8,.69999999,31.4,64.099998,28415080,114963583,,623.09515,,30.752153,,71633249861.67931,8.9622364,,.028348286,,17.16243,5740,0,0,.16666667,0,41.3377,18.25667,25.69841,.022771521,0,0,0,1.7599248,.022,5.5490761,.0094999997,.0099999998,.1,.16,.13249999,0,.340666,0,137.92,0,42.200001,.02,.85000002,0,0,0,.2465,.36300001,.0020000001,.07,5.8077378,.44510001,24191,.0254227,.98299998,6.6700001,98,.72000003,0,15.642812,1,0,33.72982,-.038946468,.10344828,.94919997,1,1,0,.26295441
