africa,lat_abst,avexpr,logpgp95,other,asia,rich4,logem4,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,indtime
1,.17777778,5,6.7334018,0,0,0,5.9914646,.2,87.900002,11.899999,0,1,1,.73291427,29,38,46,8,19,26,91,11,68,0,1,0,0,0,0,0,1,0,0,0,0,0,.94050002,1,48.5,115,28.4,0,.17777801,37
1,.11111111,5.5454545,6.8134446,0,0,0,7.6029005,12.1,45,27.099998,1,0,0,.856709,28,34,40,16,21,81,87,65,80,1,0,0,0,1,0,0,0,0,0,0,0,168000,.94999999,1,50.080002,81.099998,26.65065,.097769,.111111,35
0,.14444445,5.2272725,7.544332,0,0,0,5.0955892,94.699997,0,.90000296,0,0,1,.099179566,27,31,34,20,23,80,92,44,70,0,0,0,0,0,0,20,0,0,0,0,0,0,.044,1,67.860001,43.400002,26.633329,.63268602,.144445,157
0,.45555556,9.727273,9.7561474,1,0,1,2.1459312,18.700001,0,43.399998,1,0,0,.14756992,15,19,31,-2,5,73,81,67,78,0,0,0,0,0,0,91.699997,0,0,0,0,0,48300,0,0,76.900002,6.8000002,12.8,.95948797,.45555601,138
0,.33333334,6.0454545,7.3524413,0,1,0,3.6106477,.5,96.800003,1.899997,1,0,0,.62155986,22,24,48,-4,17,19,54,19,54,1,1,0,0,0,0,0,0,0,0,0,0,3220,.53757,1,63.950001,74.099998,23.5,.094195999,.33333299,48
0,.1,5.909091,8.8363743,0,0,0,5.0955892,85,4.5,5.3000002,0,0,1,.19083333,27,34,36,17,21,81,91,78,92,0,0,0,0,0,0,20,0,0,0,0,0,0,.08004,1,73.599998,21.4,27.5,1,.1,92
0,.11111111,5.7727275,8.3961544,0,0,0,4.2626801,95.099998,0,2.2000015,0,0,1,.43159091,22,26,34,9,16,92,95,64,80,0,1,0,0,0,0,30.000002,0,0,0,9,5,16600,.00050000002,0,68.32,45,20.5,.173208,.111111,174
0,.25555557,6.9545455,8.2079468,0,0,0,4.3579903,96,0,2.0999999,0,0,1,.41111112,22,37,43,-2,12,73,89,48,62,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,69.610001,39.200001,23,0,.25555599,184
1,.16666667,4,7.3065314,0,0,0,4.4796071,4.4000001,73,22.5,1,0,0,.51218003,29,40,48,5,19,18,67,10,41,0,1,0,0,1,0,0,0,0,0,0,0,10900,.93099999,1,54.970001,70.900002,28.5,.023229999,.166667,41
1,.15555556,6,7.4024515,0,0,0,5.1038828,5.5999999,91,3.3000002,0,1,1,.7788682,28,35,43,12,21,70,88,45,74,0,1,0,0,1,0,0,0,0,0,0,0,0,.94999999,1,52.32,63.200001,27.200001,.244762,.15555599,35
0,.013555556,9.318182,10.146434,0,1,0,2.8735647,4.6999998,17.4,75.300003,1,0,0,.3215287,28,33,36,19,21,76,82,70,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77.099998,4.9000001,27.1,1,.013556,36
0,.15000001,5,7.9480319,0,0,0,4.3579903,96.199997,0,1.400003,0,0,1,.051428571,9,20,42,-25,8,71,85,46,76,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,69.129997,32,23.571011,1,.15000001,157
1,.088888891,6.909091,7.2225661,0,0,0,6.5042882,29.299999,17,47.599998,0,1,1,.72848684,27,32,38,15,21,95,97,61,77,1,0,0,0,1,0,0,0,0,0,0,0,0,.94999999,1,48.84,83.900002,26.799999,.16768999,.088889003,35
0,.12222222,7.4545455,8.7687302,0,0,0,4.4426513,35.799999,6.5,44.5,1,0,0,.23126984,26,35,38,11,16,83,89,61,76,0,0,0,0,0,0,40,0,0,0,0,0,442000,0,1,73.800003,14.5,25.9,1,.122222,33
1,.37777779,6.4545455,8.4826021,0,0,0,4.1431346,.1,99.400002,.49999848,0,1,1,.070252195,24,25,48,-1,11,72,86,40,64,1,0,0,0,0,0,0,0,0,0,0,0,198000,0,0,69.5,30.299999,19.6,.479655,.37777799,36
1,.06666667,6.6363635,6.253829,0,0,0,5.6347895,28.200001,32.5,28.099998,0,0,0,.89024693,22,31,36,8,16,70,84,36,56,0,0,0,0,0,0,0,0,0,0,0,0,0,.92150003,1,47.919998,81.5,25.09024,.088188998,.066666998,33
1,.011111111,4.4545455,6.9660244,0,0,0,5.6347895,49.599998,6.5999999,41.900002,1,0,0,.83579069,24,29,36,12,15,78,89,54,72,0,0,0,0,1,0,0,1,0,0,0,0,0,.94999999,1,39.639999,107,21.57432,0,.011111,33
0,.36666667,7,9.0312138,0,0,0,4.2626801,59.5,0,38.599998,0,0,1,.06666667,20,26,43,-4,8,73,89,52,69,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,73.93,17.5,18.4,.31232899,.366667,165
0,.42222223,10,10.21574,0,0,1,2.7080503,30,.80000001,25.600002,1,0,0,.20903142,27,32,37,15,21,62,70,59,68,0,0,0,0,0,0,83.600006,0,11,6,11,13,95700,0,1,76.699997,7.0999999,11.2,.111732,.42222199,195
0,.088888891,7.1363635,9.0710783,0,0,0,4.3579903,94.800003,0,4.1999969,0,0,1,.052499998,20,28,33,7,12,78,84,60,63,1,1,0,0,0,0,20,0,0,2,0,0,3040000,.0070400001,1,72.410004,20.9,24.799999,.24440899,.088889003,165
0,.17777778,6.409091,7.2793188,0,1,0,4.9416423,3.9000001,1,94.900002,0,1,1,.11764706,25,33,43,6,22,74,83,67,76,0,0,0,0,0,0,0,0,0,0,0,0,7140,.70109999,1,67.389999,38.200001,25.55714,.57028198,.17777801,41
1,.32222223,6.8636365,8.885994,0,0,0,2.74084,10.4,1.3,49.299999,1,0,0,.83098179,19,29,39,-2,7,71,91,54,67,1,0,0,0,0,1,16,0,47,4,0,2,0,.1045,0,54.73,59.200001,17.700001,.19633,.32222199,139
1,0,3.5,6.8669333,0,0,0,5.480639,48.400002,1.4,21.199999,0,0,1,.87225288,25,32,36,14,19,88,95,61,73,0,0,0,0,0,0,0,0,0,0,0,3,4540,.94999999,1,50.790001,90.199997,23.354549,.0039869999,0,35
